window	context	chr	Average_Methylation	CI_low	CI_high	sex	Allele
59	CHG	X	0.294904616401024	0.289165791025021	0.300692694417939	Female	XX in female
60	CHG	X	0.308276991559232	0.302414548631798	0.314186257898605	Female	XX in female
20	CHG	X	0.253790951638066	0.247067125653977	0.260604251421992	Female	XX in female
1	CHH	X	0.0631989199378455	0.0618157857451901	0.0646036101702069	Female	XX in female
2	CHH	X	0.0648717661165794	0.0634605002538031	0.0663048477860938	Female	XX in female
3	CHH	X	0.062464532849992	0.0610906901182932	0.0638599140955489	Female	XX in female
4	CHH	X	0.0613095088714332	0.059956055608472	0.0626842914448859	Female	XX in female
5	CHH	X	0.064014059044624	0.0626293278308676	0.0654200960086441	Female	XX in female
6	CHH	X	0.0638835566983076	0.062468029113671	0.0653214046185121	Female	XX in female
7	CHH	X	0.0691857140381583	0.0677281605579598	0.0706649595473643	Female	XX in female
8	CHH	X	0.0650374692717947	0.0636343714082113	0.0664620693476804	Female	XX in female
9	CHH	X	0.0677036401970133	0.0662537994373586	0.069175459687339	Female	XX in female
10	CHH	X	0.0686346671746868	0.0671829574440006	0.0701080843683034	Female	XX in female
11	CHH	X	0.0718073897162124	0.0703145324730504	0.0733220949732237	Female	XX in female
12	CHH	X	0.0765261485171496	0.0749758754256161	0.0780983885793886	Female	XX in female
13	CHH	X	0.0725461176594958	0.0710436904728963	0.0740704267666193	Female	XX in female
14	CHH	X	0.0824546318504774	0.0808392044362864	0.0840920162182054	Female	XX in female
15	CHH	X	0.0840574131104268	0.0824174462700576	0.0857195292733452	Female	XX in female
16	CHH	X	0.0946682954512663	0.0928952411999694	0.0964639989056099	Female	XX in female
17	CHH	X	0.0940516529513938	0.092295508072716	0.0958301810647433	Female	XX in female
18	CHH	X	0.12077318136365	0.118788997413096	0.122778745892608	Female	XX in female
19	CHH	X	0.142113414938796	0.139955507295688	0.144292086799778	Female	XX in female
20	CHH	X	0.118790127467492	0.11694119492124	0.120657982588628	Female	XX in female
21	CHH	X	0.0136342954361115	0.0131857928280155	0.0140940017360046	Female	XX in female
22	CHH	X	0.0162286238953288	0.0157476943837576	0.0167203227353194	Female	XX in female
23	CHH	X	0.0181315606376864	0.0176264268451911	0.0186472938121293	Female	XX in female
24	CHH	X	0.0210365681342904	0.0204939444900347	0.0215896862944409	Female	XX in female
25	CHH	X	0.020380657499317	0.019855343033736	0.0209161312905181	Female	XX in female
26	CHH	X	0.0188351159112883	0.018322679001988	0.0193580409153713	Female	XX in female
27	CHH	X	0.0158128667233329	0.015343117144156	0.0162931661172718	Female	XX in female
28	CHH	X	0.0152547377169289	0.0147994063493891	0.0157203510126834	Female	XX in female
29	CHH	X	0.0153644706244819	0.0149061058853522	0.0158331789996685	Female	XX in female
30	CHH	X	0.0164599419878489	0.0159863012932663	0.0169438728024023	Female	XX in female
31	CHH	X	0.0153843347561198	0.0149268970166842	0.0158520601366352	Female	XX in female
32	CHH	X	0.0153486484642374	0.0148952953586943	0.0158121288577114	Female	XX in female
33	CHH	X	0.0119484198241881	0.0115469383729281	0.0123601689648148	Female	XX in female
34	CHH	X	0.0143383652244156	0.0138991684872831	0.0147877548334059	Female	XX in female
35	CHH	X	0.013745605956907	0.0133168858905798	0.0141844674647893	Female	XX in female
36	CHH	X	0.0130276663596296	0.0126052681061783	0.0134604682680661	Female	XX in female
37	CHH	X	0.011615840513304	0.0112177555714304	0.0120243175393364	Female	XX in female
38	CHH	X	0.013748721784407	0.0133181752817468	0.0141894948309528	Female	XX in female
39	CHH	X	0.0135853851810076	0.013159975261708	0.0140209008787762	Female	XX in female
40	CHH	X	0.013232669766885	0.012802886007378	0.0136730553833452	Female	XX in female
41	CHH	X	0.0414942731277533	0.0404623931148118	0.042544944510061	Female	XX in female
42	CHH	X	0.0549141360240613	0.0537002478316865	0.0561473303270313	Female	XX in female
43	CHH	X	0.0530443217430234	0.0518503639850406	0.0542576637996125	Female	XX in female
44	CHH	X	0.0517837007031379	0.0506255218424055	0.0529605901420136	Female	XX in female
45	CHH	X	0.0583782907343533	0.0571365323419229	0.0596389633362823	Female	XX in female
46	CHH	X	0.0538761726078799	0.0526699030781909	0.0551019018091181	Female	XX in female
47	CHH	X	0.0499210891874005	0.048775826166557	0.0510853796013171	Female	XX in female
48	CHH	X	0.051540719002201	0.0503488672601775	0.05275249385304	Female	XX in female
49	CHH	X	0.0454548983378491	0.044323727842769	0.0466065879751193	Female	XX in female
50	CHH	X	0.0489682454827328	0.0478055627044719	0.0501509533027595	Female	XX in female
51	CHH	X	0.0500675690644454	0.0489119752830179	0.0512424767107214	Female	XX in female
52	CHH	X	0.0546273317693915	0.0534100189224906	0.0558641707064594	Female	XX in female
53	CHH	X	0.0553778335603753	0.0541437636591344	0.0566316809044893	Female	XX in female
54	CHH	X	0.0529321709884427	0.0517025578394393	0.0541823991701007	Female	XX in female
55	CHH	X	0.0491874511167116	0.0480024730394421	0.0503931360532794	Female	XX in female
56	CHH	X	0.04933702677747	0.0481893335600194	0.0505040717997788	Female	XX in female
